num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.0, 1.0, 1.0)
rho;SRPT;SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5)
0.75;2.970910570825628;2.969329130094719;2.9822230602600515;3.0036692485671797
0.76;3.020663813843876;3.018810808410809;3.0313753691175305;3.0532324262179564
0.78;3.1315777357278525;3.129098400661186;3.1408050426262593;3.1633755817776406
0.8;3.2607879246901454;3.2576325650459004;3.268224394441154;3.291255249903499
0.82;3.4134987257904936;3.4096095507602846;3.4187526684827767;3.4420199386622117
0.84;3.597614443151914;3.5929308361039247;3.6003509617225755;3.6234652375427125
0.86;3.825011678203057;3.8194733694821514;3.824789088542607;3.847364743928567
0.88;4.114878751581614;4.108417484596866;4.111116754360977;4.132497499361315
0.9;4.500183423968695;4.492766776274188;4.492388030625889;4.511944305169171
0.903;4.569523418057893;4.561952158533557;4.5610175596342035;4.580187750726644
0.906;4.64254575998818;4.634827540183313;4.633377465629641;4.652166814637298
0.91;4.746490247808968;4.738562175161724;4.736345212812497;4.754541379813305
0.913;4.829736966655689;4.821662210111213;4.818930630297527;4.836743802500762
0.916;4.917880864741473;4.909675457671281;4.906375667398368;4.9236640619951375
0.92;5.044530891471871;5.036073002109846;5.032036555403249;5.048598131489585
0.923;5.146838366924908;5.13826568284688;5.133521618108124;5.149646857375884
0.926;5.256059152898335;5.2473165762119915;5.241992914977523;5.257563958964653
0.93;5.41422154873024;5.405332006233103;5.39917902173814;5.41382377253814
0.933;5.543551157070499;5.5345056597882465;5.527696037320292;5.5416789570950105
0.936;5.683149468489871;5.6739952132604055;5.666683798363211;5.679957912683242
0.94;5.888206503958435;5.878834730819972;5.870627366111424;5.883083078056269
0.943;6.05862995103956;6.049141091425977;6.040245696784999;6.051907592611022
0.946;6.245873038013265;6.236188945039504;6.22647840222347;6.237307002886595
0.95;6.52612180326771;6.516300409659274;6.505614975826679;6.515421578326158
0.952;6.681545766086752;6.671636928474941;6.660413388265691;6.6694948580163835
0.954;6.848312679420498;6.838308105983102;6.826597072026167;6.835000802648082
0.956;7.028552048412822;7.018437452209485;7.006244582493255;7.013940057869616
0.958;7.223846974057448;7.213742769987631;7.201146132368359;7.208262538814488
0.96;7.436718698098583;7.426548513833043;7.413422077361068;7.419800619246507
0.962;7.66931911795239;7.65913744952105;7.645688167166543;7.651368647573314
0.964;7.924569470036821;7.914363017032137;7.90052006467377;7.905552123014102
0.966;8.206154182276684;8.19582322441581;8.181389868307177;8.185714492269954
0.968;8.518036422960568;8.507645540857173;8.492616557044263;8.496113604930947
0.97;8.866517054736732;8.856064589049407;8.840250567354268;8.8431603514359
0.972;9.259037378175902;9.248683539157732;9.23251194946383;9.234490805701265
0.974;9.705049453275429;9.694707267094019;9.677911318447338;9.678917459022186
0.976;10.219716304729399;10.209340518026059;10.192109859888072;10.192171011034176
0.978;10.819119251353472;10.808737668691776;10.791083103092719;10.790197763497806
0.98;11.524842203829289;11.514391140913133;11.496381687284174;11.494719677913698
0.983;12.84666068626186;12.836282025165277;12.817645861964746;12.81443510622873
0.986;14.646913541178968;14.636571243103877;14.617164420005588;14.61315167610928
0.99;18.48108656160786;18.470916435243875;18.450456703267434;18.44466698806171
0.993;23.8917054432615;23.881938260268964;23.861471020131273;23.854762572052937
0.996;36.30197762360846;36.29308027415079;36.27255183155914;36.26376593704024
num_jobs 100000000 num_servers 2 seed 0 dist Hyperexp(1.9, 0.1, 0.95)
rho;SRPT;SRPTExcept(0.5);SRPTExcept(1.0);SRPTExcept(1.5)
0.75;2.874341101933363;2.8719440580656546;2.8754090989597345;2.881919374419591
0.76;2.915118425032491;2.912428220500664;2.9154340868569113;2.921746627510267
0.78;3.0047957629270323;3.0014407050190384;3.003417563120408;3.009232556816394
0.8;3.10776320703838;3.103667989598522;3.1043744129284776;3.1094798135088815
0.82;3.227538768278966;3.2226294701692413;3.2218231428208983;3.22606832152354
0.84;3.3694686754152463;3.363759822669703;3.3613065453760957;3.364389958740531
0.86;3.5413747908138324;3.534648245233021;3.530231098134048;3.532026761536585
0.88;3.7561701886424084;3.7484848173199112;3.7417296955772614;3.7418548676654955
0.9;4.035763493471501;4.027059679339823;4.017716875390418;4.01573017837464
0.903;4.085366192776333;4.076478656184009;4.066734087366557;4.064443402126575
0.906;4.1375130143529395;4.128496712659286;4.118324660423604;4.115690798297903
0.91;4.211158696080947;4.201972018644593;4.191313362425964;4.188171044297596
